altogether,full,atleastone,region
New South Wales Capital Region 50.0% 21.9%,21.9,50.0,Capital Region
New South Wales Central Coast 49.4% 23.3%,23.3,49.4,Central Coast
New South Wales Central West 43.1% 20.1%,20.1,43.1,Central West
New South Wales Coffs Harbour - Grafton 44.4% 17.8%,17.8,44.4,Coffs Harbour - Grafton
New South Wales Far West and Orana 36.9% 16.3%,16.3,36.9,Far West and Orana
New South Wales Hunter Valley exc Newcastle 40.6% 17.0%,17.0,40.6,Hunter Valley exc Newcastle
New South Wales Illawarra 46.7% 24.7%,24.7,46.7,Illawarra
New South Wales Mid North Coast 49.2% 21.6%,21.6,49.2,Mid North Coast
New South Wales Murray 48.3% 20.3%,20.3,48.3,Murray
New South Wales New England and North West 41.0% 18.1%,18.1,41.0,New England and North West
New South Wales Newcastle and Lake Macquarie 44.4% 20.3%,20.3,44.4,Newcastle and Lake Macquarie
New South Wales Richmond - Tweed 42.5% 20.0%,20.0,42.5,Richmond - Tweed
New South Wales Riverina 46.2% 22.2%,22.2,46.2,Riverina
New South Wales Southern Highlands and Shoalhaven 54.0% 26.6%,26.6,54.0,Southern Highlands and Shoalhaven
New South Wales Sydney - Baulkham Hills and Hawkesbury 56.0% 30.2%,30.2,56.0,Sydney - Baulkham Hills and Hawkesbury
New South Wales Sydney - Blacktown 45.6% 23.4%,23.4,45.6,Sydney - Blacktown
New South Wales Sydney - City and Inner South 40.8% 23.3%,23.3,40.8,Sydney - City and Inner South
New South Wales Sydney - Eastern Suburbs 49.3% 28.4%,28.4,49.3,Sydney - Eastern Suburbs
New South Wales Sydney - Inner South West 39.0% 19.1%,19.1,39.0,Sydney - Inner South West
New South Wales Sydney - Inner West 47.5% 27.0%,27.0,47.5,Sydney - Inner West
New South Wales Sydney - North Sydney and Hornsby 57.6% 32.0%,32.0,57.6,Sydney - North Sydney and Hornsby
New South Wales Sydney - Northern Beaches 53.7% 25.6%,25.6,53.7,Sydney - Northern Beaches
New South Wales Sydney - Outer South West 44.8% 21.7%,21.7,44.8,Sydney - Outer South West
New South Wales Sydney - Outer West and Blue Mountains 43.9% 21.1%,21.1,43.9,Sydney - Outer West and Blue Mountains
New South Wales Sydney - Parramatta 40.2% 21.2%,21.2,40.2,Sydney - Parramatta
New South Wales Sydney - Ryde 51.3% 28.0%,28.0,51.3,Sydney - Ryde
New South Wales Sydney - South West 38.6% 17.9%,17.9,38.6,Sydney - South West
New South Wales Sydney - Sutherland 55.0% 26.9%,26.9,55.0,Sydney - Sutherland
